ticker,name,sector,exchange,industry
OTC:STKAF,STKAF,Finance,OTC,Real Estate Investment Trusts
OTC:LMPMY,LMPMY,Process Industries,OTC,Pulp & Paper
OTC:UTGPF,UTGPF,Finance,OTC,Real Estate Development
OTC:MCSHF,MCSHF,Distribution Services,OTC,Food Distributors
OTC:VLTAF,VLTAF,Utilities,OTC,Electric Utilities
OTC:CPYYF,CPYYF,Utilities,OTC,Gas Distributors
OTC:DMZPY,DMZPY,Consumer Services,OTC,Restaurants
OTC:TRUBF,TRUBF,Technology Services,OTC,Packaged Software
OTC:TLTZY,TLTZY,Communications,OTC,Major Telecommunications
OTC:SEOFF,SEOFF,Process Industries,OTC,Containers/Packaging
OTC:KUASF,KUASF,Commercial Services,OTC,Advertising/Marketing Services
OTC:XISHY,XISHY,Electronic Technology,OTC,Semiconductors
OTC:KGFHF,KGFHF,Retail Trade,OTC,Home Improvement Chains
OTC:SCGPY,SCGPY,Commercial Services,OTC,Miscellaneous Commercial Services
OTC:NSHBY,NSHBY,Producer Manufacturing,OTC,Trucks/Construction/Farm Machinery
OTC:NRSDY,NRSDY,Electronic Technology,OTC,Semiconductors
OTC:CCRDF,CCRDF,Finance,OTC,Regional Banks
OTC:MCARY,MCARY,Retail Trade,OTC,Internet Retail
OTC:CNICF,CNICF,Finance,OTC,Investment Banks/Brokers
OTC:ELCPF,ELCPF,Utilities,OTC,Electric Utilities
OTC:LWSCF,LWSCF,Health Services,OTC,Hospital/Nursing Management
OTC:WLMIF,WLMIF,Process Industries,OTC,Agricultural Commodities/Milling
OTC:NINOY,NINOY,Consumer Durables,OTC,Electronics/Appliances
OTC:SEGSF,SEGSF,Transportation,OTC,Other Transportation
OTC:EMNSF,EMNSF,Process Industries,OTC,Chemicals: Specialty
OTC:TKECF,TKECF,Utilities,OTC,Electric Utilities
OTC:WRDLY,WRDLY,Commercial Services,OTC,Miscellaneous Commercial Services
OTC:KAEPF,KAEPF,Utilities,OTC,Electric Utilities
OTC:ACOPF,ACOPF,Consumer Non-Durables,OTC,Food: Meat/Fish/Dairy
OTC:RBSFY,RBSFY,Distribution Services,OTC,Wholesale Distributors
OTC:NRXXY,NRXXY,Producer Manufacturing,OTC,Electrical Products
OTC:PNXGF,PNXGF,Finance,OTC,Life/Health Insurance
OTC:SHTDF,SHTDF,Distribution Services,OTC,Medical Distributors
OTC:CMAKY,CMAKY,Finance,OTC,Major Banks
OTC:ATDRF,ATDRF,Technology Services,OTC,Internet Software/Services
OTC:YAMHF,YAMHF,Consumer Durables,OTC,Motor Vehicles
OTC:FQVTY,FQVTY,Consumer Non-Durables,OTC,Beverages: Non-Alcoholic
OTC:MCHOY,MCHOY,Consumer Services,OTC,Cable/Satellite TV
OTC:ORKLF,ORKLF,Consumer Non-Durables,OTC,Food: Specialty/Candy
OTC:OUKPY,OUKPY,Producer Manufacturing,OTC,Trucks/Construction/Farm Machinery
OTC:OCDGF,OCDGF,Retail Trade,OTC,Food Retail
OTC:SFSHF,SFSHF,Finance,OTC,Real Estate Investment Trusts
OTC:OCDDY,OCDDY,Retail Trade,OTC,Food Retail
OTC:PHPRF,PHPRF,Finance,OTC,Real Estate Investment Trusts
OTC:IMPUF,IMPUF,Non-Energy Minerals,OTC,Other Metals/Minerals
OTC:BZLYF,BZLYF,Finance,OTC,Multi-Line Insurance
OTC:OCLDF,OCLDF,Process Industries,OTC,Industrial Specialties
OTC:ZNKKY,ZNKKY,Finance,OTC,Property/Casualty Insurance
OTC:KUBTF,KUBTF,Producer Manufacturing,OTC,Trucks/Construction/Farm Machinery
OTC:CIXPF,CIXPF,Finance,OTC,Regional Banks
OTC:AIBRF,AIBRF,Finance,OTC,Major Banks
OTC:ZLIOY,ZLIOY,Producer Manufacturing,OTC,Industrial Machinery
OTC:NKRKY,NKRKY,Consumer Durables,OTC,Automotive Aftermarket
OTC:APNHY,APNHY,Health Technology,OTC,Pharmaceuticals: Major
OTC:YAMCY,YAMCY,Consumer Durables,OTC,Recreational Products
OTC:PAFRY,PAFRY,Non-Energy Minerals,OTC,Precious Metals
OTC:CLPXY,CLPXY,Utilities,OTC,Alternative Power Generation
OTC:CHBAF,CHBAF,Finance,OTC,Regional Banks
OTC:SCRYY,SCRYY,Finance,OTC,Property/Casualty Insurance
OTC:MDBPF,MDBPF,Finance,OTC,Life/Health Insurance
OTC:WPPGF,WPPGF,Commercial Services,OTC,Advertising/Marketing Services
OTC:SNPTF,SNPTF,Electronic Technology,OTC,Electronic Components
OTC:HUFAF,HUFAF,Finance,OTC,Real Estate Development
OTC:HSHZY,HSHZY,Producer Manufacturing,OTC,Industrial Machinery
OTC:AACAF,AACAF,Electronic Technology,OTC,Electronic Production Equipment
OTC:FMXUF,FMXUF,Consumer Non-Durables,OTC,Beverages: Non-Alcoholic
OTC:CWQXF,CWQXF,Finance,OTC,Real Estate Development
OTC:YAMCF,YAMCF,Consumer Durables,OTC,Recreational Products
